0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
126 0 ['38d2m42s', '118d26m37s'] ['38d2m42s', '118d23m6s'] ['38d0m0s', '118d26m37s'] ['38d0m0s', '118d23m6s'] 2452
127 0 ['38d2m42s', '118d30m8s'] ['38d2m42s', '118d26m37s'] ['38d0m0s', '118d30m8s'] ['38d0m0s', '118d26m37s'] 2554
128 0 ['38d2m42s', '118d33m39s'] ['38d2m42s', '118d30m8s'] ['38d0m0s', '118d33m39s'] ['38d0m0s', '118d30m8s'] 2524
129 0 ['38d2m42s', '118d37m10s'] ['38d2m42s', '118d33m39s'] ['38d0m0s', '118d37m10s'] ['38d0m0s', '118d33m39s'] 2444
130 0 ['38d2m42s', '118d40m41s'] ['38d2m42s', '118d37m10s'] ['38d0m0s', '118d40m41s'] ['38d0m0s', '118d37m10s'] 2408
131 0 ['38d2m42s', '118d44m12s'] ['38d2m42s', '118d40m41s'] ['38d0m0s', '118d44m12s'] ['38d0m0s', '118d40m41s'] 2351
132 0 ['38d2m42s', '118d47m43s'] ['38d2m42s', '118d44m12s'] ['38d0m0s', '118d47m43s'] ['38d0m0s', '118d44m12s'] 2455
133 0 ['38d2m42s', '118d51m14s'] ['38d2m42s', '118d47m43s'] ['38d0m0s', '118d51m14s'] ['38d0m0s', '118d47m43s'] 2424
134 0 ['38d2m42s', '118d54m45s'] ['38d2m42s', '118d51m14s'] ['38d0m0s', '118d54m45s'] ['38d0m0s', '118d51m14s'] 2261
135 0 ['38d2m42s', '118d58m16s'] ['38d2m42s', '118d54m45s'] ['38d0m0s', '118d58m16s'] ['38d0m0s', '118d54m45s'] 1957
136 0 ['38d2m42s', '119d1m47s'] ['38d2m42s', '118d58m16s'] ['38d0m0s', '119d1m47s'] ['38d0m0s', '118d58m16s'] 2002
137 0 ['38d2m42s', '119d5m18s'] ['38d2m42s', '119d1m47s'] ['38d0m0s', '119d5m18s'] ['38d0m0s', '119d1m47s'] 2034
138 0 ['38d2m42s', '119d8m49s'] ['38d2m42s', '119d5m18s'] ['38d0m0s', '119d8m49s'] ['38d0m0s', '119d5m18s'] 2119
139 0 ['38d2m42s', '119d12m20s'] ['38d2m42s', '119d8m49s'] ['38d0m0s', '119d12m20s'] ['38d0m0s', '119d8m49s'] 3270
140 0 ['38d2m42s', '119d15m51s'] ['38d2m42s', '119d12m20s'] ['38d0m0s', '119d15m51s'] ['38d0m0s', '119d12m20s'] 3562
141 0 ['38d2m42s', '119d19m22s'] ['38d2m42s', '119d15m51s'] ['38d0m0s', '119d19m22s'] ['38d0m0s', '119d15m51s'] 3783
142 0 ['38d2m42s', '119d22m53s'] ['38d2m42s', '119d19m22s'] ['38d0m0s', '119d22m53s'] ['38d0m0s', '119d19m22s'] 3595
143 0 ['38d2m42s', '119d26m24s'] ['38d2m42s', '119d22m53s'] ['38d0m0s', '119d26m24s'] ['38d0m0s', '119d22m53s'] 3383
144 0 ['38d2m42s', '119d29m55s'] ['38d2m42s', '119d26m24s'] ['38d0m0s', '119d29m55s'] ['38d0m0s', '119d26m24s'] 3217
145 0 ['38d2m42s', '119d33m26s'] ['38d2m42s', '119d29m55s'] ['38d0m0s', '119d33m26s'] ['38d0m0s', '119d29m55s'] 3207
146 0 ['38d2m42s', '119d36m57s'] ['38d2m42s', '119d33m26s'] ['38d0m0s', '119d36m57s'] ['38d0m0s', '119d33m26s'] 3139
147 0 ['38d2m42s', '119d40m28s'] ['38d2m42s', '119d36m57s'] ['38d0m0s', '119d40m28s'] ['38d0m0s', '119d36m57s'] 2745
148 0 ['38d2m42s', '119d43m59s'] ['38d2m42s', '119d40m28s'] ['38d0m0s', '119d43m59s'] ['38d0m0s', '119d40m28s'] 2609
149 0 ['38d2m42s', '119d47m30s'] ['38d2m42s', '119d43m59s'] ['38d0m0s', '119d47m30s'] ['38d0m0s', '119d43m59s'] 2443
150 0 ['38d2m42s', '119d51m1s'] ['38d2m42s', '119d47m30s'] ['38d0m0s', '119d51m1s'] ['38d0m0s', '119d47m30s'] 2374
151 0 ['38d2m42s', '119d54m32s'] ['38d2m42s', '119d51m1s'] ['38d0m0s', '119d54m32s'] ['38d0m0s', '119d51m1s'] 2210
152 0 ['38d2m42s', '119d58m3s'] ['38d2m42s', '119d54m32s'] ['38d0m0s', '119d58m3s'] ['38d0m0s', '119d54m32s'] 2138
153 0 ['38d2m42s', '120d1m34s'] ['38d2m42s', '119d58m3s'] ['38d0m0s', '120d1m34s'] ['38d0m0s', '119d58m3s'] 1906
154 0 ['38d2m42s', '120d5m5s'] ['38d2m42s', '120d1m34s'] ['38d0m0s', '120d5m5s'] ['38d0m0s', '120d1m34s'] 1748
155 0 ['38d2m42s', '120d8m36s'] ['38d2m42s', '120d5m5s'] ['38d0m0s', '120d8m36s'] ['38d0m0s', '120d5m5s'] 1751
156 0 ['38d2m42s', '120d12m7s'] ['38d2m42s', '120d8m36s'] ['38d0m0s', '120d12m7s'] ['38d0m0s', '120d8m36s'] 1665
157 0 ['38d2m42s', '120d15m38s'] ['38d2m42s', '120d12m7s'] ['38d0m0s', '120d15m38s'] ['38d0m0s', '120d12m7s'] 1478
158 0 ['38d2m42s', '120d19m9s'] ['38d2m42s', '120d15m38s'] ['38d0m0s', '120d19m9s'] ['38d0m0s', '120d15m38s'] 1200
159 0 ['38d2m42s', '120d22m40s'] ['38d2m42s', '120d19m9s'] ['38d0m0s', '120d22m40s'] ['38d0m0s', '120d19m9s'] 1177
160 0 ['38d2m42s', '120d26m11s'] ['38d2m42s', '120d22m40s'] ['38d0m0s', '120d26m11s'] ['38d0m0s', '120d22m40s'] 863
161 0 ['38d2m42s', '120d29m42s'] ['38d2m42s', '120d26m11s'] ['38d0m0s', '120d29m42s'] ['38d0m0s', '120d26m11s'] 683
162 0 ['38d2m42s', '120d33m13s'] ['38d2m42s', '120d29m42s'] ['38d0m0s', '120d33m13s'] ['38d0m0s', '120d29m42s'] 607
163 0 ['38d2m42s', '120d36m44s'] ['38d2m42s', '120d33m13s'] ['38d0m0s', '120d36m44s'] ['38d0m0s', '120d33m13s'] 885
164 0 ['38d2m42s', '120d40m15s'] ['38d2m42s', '120d36m44s'] ['38d0m0s', '120d40m15s'] ['38d0m0s', '120d36m44s'] 722
165 0 ['38d2m42s', '120d43m46s'] ['38d2m42s', '120d40m15s'] ['38d0m0s', '120d43m46s'] ['38d0m0s', '120d40m15s'] 577
166 0 ['38d2m42s', '120d47m17s'] ['38d2m42s', '120d43m46s'] ['38d0m0s', '120d47m17s'] ['38d0m0s', '120d43m46s'] 475
167 0 ['38d2m42s', '120d50m48s'] ['38d2m42s', '120d47m17s'] ['38d0m0s', '120d50m48s'] ['38d0m0s', '120d47m17s'] 440
168 0 ['38d2m42s', '120d54m19s'] ['38d2m42s', '120d50m48s'] ['38d0m0s', '120d54m19s'] ['38d0m0s', '120d50m48s'] 152
169 0 ['38d2m42s', '120d57m50s'] ['38d2m42s', '120d54m19s'] ['38d0m0s', '120d57m50s'] ['38d0m0s', '120d54m19s'] 133
